Row.names	mzmed	rtmed	1	2	3	4	5	6	7	8	9	10
FT0370	138.048956209224	160.119426914737	2470.09356141283	1331.62895454545	2376.37534615384	2235.38539510489	3497.6686732433	1405.76458741258	2513.47685664336	4555.66969936287	1537.97091608391	2277.39840806398
FT0371	138.05468876957	148.395989822796	101.677227986153	21.0944038399406	513.62274125874	191.500840580359	1107.37929020979	NA	42.4523747789343	1310.04677622378	22.7656179598499	102.810687773288
FT0560	160.036558490242	163.040618746496	10681.4714265734	3707.15852097902	13044.2449445705	11162.4423881119	15409.6951923755	3680.12218531469	11228.7348041958	27059.1711423719	3102.09759440558	10900.0969823236
FT0565	161.040043207523	162.136680390765	653.208587412585	26.1557444764233	828.200769230769	636.896517482522	985.015678321679	NA	700.196999999997	1980.5666958042	NA	664.227422615477
FT0723	181.072299826616	34.5848502964774	22990.8961468531	527.847188811189	57406.5580909091	22319.481020979	41614.1311888112	2509.44143706294	24091.1680909091	68682.5433986014	30.5772278159794	23362.4708181818
FT0724	181.072009779002	47.4760746564987	11006.0426350244	77.9950662174849	32532.934986985	11802.4794440559	11252.1948671329	1711.35140991407	13427.6380717409	33330.3319769036	NA	9537.64969549274
FT0732	182.074866287029	34.8378876498386	1437.66879020979	NA	5596.5140034965	2305.86768881119	3186.44761888112	16.1762455116437	1746.45773076923	5142.04544055944	NA	1548.79728671329
FT0790	188.175756271134	168.932370919819	68.2443326518658	1564.61411538461	593.665174825175	671.472681818179	800.637975524472	342.848261411202	280.684000257782	845.413573426578	459.502020995662	542.757755244758
FT0791	188.175679398765	173.530778758152	417.179482751436	537.045597977161	648.491926573426	698.433251748251	731.015769230769	536.132082244464	676.99415034965	873.09895804196	676.949155536544	556.602382125896
FT0845	195.08768799211	32.6566846665131	36589.8318776224	1035.26917132867	78965.650625874	39893.7502027972	117088.155996503	2173.21001748252	39561.5743636364	165693.843136364	1152.86832167832	39689.5680524476
FT0851	196.090107263126	32.753884949982	4667.03753496503	95.6408661569805	7960.19387412586	4820.77466433566	12500.567034965	363.370510489511	4415.19223426573	18172.4594895105	195.454458041958	4447.47689160839
FT0862	197.091791191598	32.6294896632168	481.492541958041	265.403753977898	1101.50890909091	777.160678321678	1453.14613636364	686.179363636362	345.312251748252	1903.68496153846	369.539641622205	456.369534965037
FT1171	229.129914945886	181.088281852474	1885.17633566433	NA	2130.15426923078	1843.88572988573	1195.51174825174	54.3099487676376	1795.2189965035	1564.7819055944	49.3209601555744	1614.00036713286
FT1669	273.130746313302	33.9480484400898	3048.70258741259	1074.46314335664	640.791786713287	2871.88292307693	839.66936013986	891.128276223777	2696.74896503496	563.980516055051	764.313346153847	2686.398
FT2862	349.075980499802	171.015279825819	903.006912587409	420.216040547729	637.606048951049	1034.84676923076	1547.62373076924	955.270636363637	943.920734265736	1456.84695104895	987.30686013986	874.39022727273
FT3098	366.109436221365	183.810822737816	947.470993006996	NA	689.024318181818	827.375800699303	1692.19385664335	118.947925552792	774.666262237762	75.8582644231294	20.5795808403794	829.464398601398
FT3100	366.116733712567	178.73835885964	2360.52600000001	3663.26729797239	354.901006993007	3982.245203259	2620.15078321678	2467.68086013987	2639.6744660316	3248.15832167833	2081.32569230769	3468.02365384616
FT3308	381.079844883567	183.69691611426	973.116230769236	12.5412717905517	607.186919580419	759.538153846155	1177.72631118881	32.6099609779658	675.605653846153	271.127192307693	10.6766102122778	613.437430069931
FT3756	414.300197679142	34.3446956897106	9546.53487062938	2793.46538811189	13355.9673776224	10243.5851538462	11513.5255174825	6802.07983216783	9951.01625874125	16278.9677832168	3555.90702797203	9454.90027972027
FT4529	472.302976712163	34.3395751294755	3351.33824475525	546.895279720281	4093.35793006994	3828.01722377622	2755.25376923077	1775.52998601399	2924.52515034965	4420.18789510489	776.704132867133	3097.17184615384
